Question,Answer
hi,Hello!😊 How can I assist you today?
hii,Hello! How can I assist you today?
hello,Hi there! How can I help you?

what's your name?,My name is inner glow!
what is your name?,My name is inner glow!
what is your name,My name is inner glow!

Why Exam page is not Open?,it will open when the admin accept your exam request!
Exam page is not open,The exam page may not be open due to maintenance. Please try again later.

how to reset password,Click on the "Forgot Password" link on the login page. Follow the instructions to reset your password.  
What should I do if I forget my password?,Click on the "Forgot Password" link on the login page. Follow the instructions to reset your password.  
Can I change my password?,Yes, after logging in, go to the "Profile" section and click on "Change Password." Enter your current password and set a new password.

what are you doing,i am doing nothing!
how was your day?,as I am a bot my day was good!thanks for asking
How do I start an examination?,After logging in, select the desired subject from the "Available Exams" list and click on the "select" button and thn read all rules and then "Start Exam" button.
Can I pause the exam and continue later?,: No, once you start the exam, it must be completed within the allotted time. Ensure you have a stable internet connection before starting.
How is my time monitored during the exam?,A countdown timer will be displayed on the exam screen. It will automatically submit your answers when the time runs out.
Can I review or change my answers before submitting?, Yes, you can navigate through the questions using the "Previous" and "Next" buttons to review or change your answers before the final submission.


The exam page is not loading. What should I do?,Ensure your internet connection is stable. Try refreshing the page. If the issue persists, clear your browser cache or try using a different browser.
I see an error message while submitting my exam. What should I do?,Take a screenshot of the error message and report it to the technical support team or the administrator immediately.

How can I view my exam results?, After the examination, go to the "View Results" section in your account. Click on the desired exam to view your score and feedback.
Can I dispute my exam results?,Yes, if you believe there is an error in the grading, contact the examination authority with the exam details and your concerns.
Will I receive a certificate after passing the exam?,Yes!Certificates are issued for certain exams. Check the exam details or contact the administrator for more information.

Whom should I contact for technical support?, For technical issues, email support@innerglow.com or call the helpline at +1-234-567-8910.
How do I report a problem or give feedback about the system?, Use the "Contact Us" section on the portal to submit your feedback or report a problem.


bye,Goodbye! Have a wonderful day!
